osebuildingid,datayear,buildingtype,primarypropertytype,propertyname,address,city,state,zipcode,taxparcelidentificationnumber,councildistrictcode,neighborhood,latitude,longitude,yearbuilt,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuildings,listofallpropertyusetypes,largestpropertyusetype,largestpropertyusetypegfa,energystarscore,siteeuiwnkbtu_sf,sourceeuikbtu_sf,sourceeuiwnkbtu_sf,siteenergyusekbtu,siteenergyusewnkbtu,steamusekbtu,electricitykwh,electricitykbtu,naturalgastherms,naturalgaskbtu,defaultdata,compliancestatus,totalghgemissions,ghgemissionsintensity,building_age,gfa_per_floor,parking_ratio,is_multipurpose,energystarscore_is_missing,building_age_category,floor_density,primary_usage_dominance,remaining_usage_dominance,usage_balance_index,eui_ratio,energy_efficiency_score,is_high_performer,energy_vulnerability_index,elec_ratio,gas_ratio,steam_ratio,carbon_intensity_of_mix,fossil_fuel_dependency,avg_building_size,geo_cluster,is_downtown,is_central_district,dist_to_center,building_macro_category,size_category,is_specialized,age_size_interaction,usage_size_interaction,perf_age_interaction,log_gfa_total,log_gfa_building,age_squared,energy_score_squared,score_per_sqft,construction_era,is_pre_1980,regulatory_gap,decade_built,size_vs_neighborhood,age_vs_neighborhood,density_vs_type,neighborhood_avg_score,score_vs_neighborhood,data_confidence_index,is_compliant,admin_risk_flag,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7,cat_Education,cat_Healthcare,cat_Hospitality,cat_Other,cat_Public_Assembly,cat_Residential,cat_Storage,is_public_building,star_score_percentile,renovation_potential_index,surface_exposure_index,structural_complexity_score
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,WA,98101.0,0659000030,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,60.0,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,False,Compliant,249.98,2.83,89,7369.5,0.0,1,0,Old,7.3695,1.0,0.0,1.0,0.44767121616438355,0.6,0,0.4444444444444444,0.546059929874816,0.1766383848028659,0.277301616131214,0.030411127313361323,0.45394000093407993,88.434,1,1,1,0.014028759745603019,Hospitality,Medium,1,7.870626,0.88434,0,11.390023097868895,11.390023097868895,0.7921,0.36,5.26776807074484,Historic,1,89,1920,0.9948197020063109,34.5,0.6478681318681319,68.54356060606061,0.8753557514299135,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.2559880239520958,35.6,6802.615384615385,10.137120557103316
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,WA,98101.0,0659000220,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,61.0,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,False,Compliant,295.86,2.86,20,9415.09090909091,0.1454531409922175,3,0,New,8.045636363636364,0.8099183129598517,0.19008168704014827,0.6920987214157612,0.5383304927097331,0.61,0,1.8571428571428572,0.38660907281925116,0.6133909271807488,0.0,0.03366954635903744,0.6133909271807488,88.502,1,1,1,0.01702838218974954,Hospitality,Medium,0,2.07132,3.10698,0,11.547974025246633,11.39079172872657,0.04000000000000001,0.3721,5.28231184679143,Early_Code,0,20,1990,1.1650439566002395,-34.5,0.7073086913086913,68.54356060606061,0.8899450139537454,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.27181351582549185,7.800000000000001,8630.5,6.92878441514798
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,Seattle,WA,98101.0,0659000475,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,43.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,False,Compliant,2089.28,2.19,47,23319.756097560974,0.20574829256047944,1,0,Modern,18.521756097560974,0.791219629540534,0.20878037045946596,0.6696177452594518,0.3968582158777806,0.43,0,1.1875,0.6823074052464253,0.020579435795576907,0.29711307629859574,0.023935547653806555,0.31769251209417265,759.392,1,1,1,0.012984794954099382,Hospitality,Mega,0,44.93717,9.5611,0,13.770629294080045,13.540274708933826,0.22089999999999999,0.18489999999999998,3.1225878702933043,Mid_Century,1,47,1960,10.755558555366193,-7.5,1.6282862503350306,68.54356060606061,0.6273382885247714,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.1484174508126604,26.79,22764.52380952381,6.472195768217621
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,WA,98101.0,0659000640,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,56.0,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,False,Compliant,286.43,4.67,90,6132.0,0.0,1,0,Old,6.132,1.0,0.0,1.0,0.5124884583196773,0.56,0,0.4835164835164835,0.40751928300540546,0.2665671658485641,0.32591344076399675,0.038164558492469886,0.5924806066125609,61.32,1,1,1,0.014176741515592336,Hospitality,Medium,1,5.5188,0.6132,0,11.023877640745798,11.023877640745798,0.81,0.31360000000000005,5.079882217942636,Historic,1,90,1920,0.689806455967467,35.5,0.539076923076923,68.54356060606061,0.816998701334586,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.2219846022241232,39.6,5574.545454545455,9.921489876671219
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,WA,98121.0,0659000970,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,75.0,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,False,Compliant,505.01,2.88,36,9754.444444444445,0.3531153889964688,3,0,Modern,6.31,0.7030698257204693,0.2969301742795307,0.5824747082362836,0.5430463879497776,0.75,0,0.6756756756756757,0.3788016826263286,0.6211982468150177,0.0,0.03405991212907492,0.6211982468150177,113.58,4,1,1,0.011114468048449842,Hospitality,Large,0,6.32088,5.2674,0,12.075855753873482,11.640271517759631,0.1296,0.5625,6.210739969789952,Early_Code,0,36,1980,1.975150318636136,-18.5,0.5547252747252747,68.54356060606061,1.094194689287392,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.5786997433704021,9.0,9241.052631578947,13.041924214183359
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,Seattle,WA,98101.0,0660000560,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,72.0,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,False,Compliant,301.81,3.1,17,48644.0,0.382349313378834,1,1,New,30.045,0.9130622481703807,0.08693775182961927,0.8412408417271384,0.430287737431269,0.72,0,1.5555555555555556,0.609884023783001,0.39011597621699906,0.0,0.022505798810849954,0.39011597621699906,60.09,1,1,1,0.013427054777578992,Other,Medium,1,1.653896,0.97288,0,11.48544120936798,11.003615358893612,0.028900000000000006,0.5184,6.26880575917919,Early_Code,0,17,1990,1.0944209146797608,-37.5,1.431805184902783,68.54356060606061,1.0504269017158963,0.7,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.459153122326775,4.760000000000001,32429.333333333332,1.952525005592557
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,WA,98101.0,0660000825,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,27.0,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,False,Compliant,176.14,2.12,90,7546.181818181818,0.0,1,0,Old,7.546181818181818,0.9800501156515035,0.019949884348496538,0.9608962270740438,0.4829467947068523,0.27,0,0.8021978021978022,0.4881602835315374,0.5118397164684626,0.0,0.02859198582342313,0.5118397164684626,83.008,1,1,1,0.0177431930610002,Hospitality,Medium,1,7.47072,0.83008,0,11.326704314635162,11.326704314635162,0.81,0.0729,2.3837472269063715,Historic,1,90,1920,0.9337810550708987,35.5,0.6634005994005994,68.54356060606061,0.39391008814346107,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.09281437125748503,65.7,6917.333333333333,10.194033883171645
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,WA,98101.0,0660000955,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,72.0,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.890137,385189.0,False,Compliant,221.51,2.16,90,12845.125,0.0,1,1,Old,12.845125,1.0,0.0,1.0,0.43260409725527665,0.72,0,0.3076923076923077,0.5774180802671396,0.061159250168085565,0.36142251078752485,0.0302732702548367,0.4225817609556104,102.761,1,1,1,0.019342091407080278,Other,Medium,1,9.24849,1.02761,0,11.540170913860424,11.540170913860424,0.81,0.5184,6.239075706714514,Historic,1,90,1920,1.155988278239936,35.5,0.6121390106747998,68.54356060606061,1.0504269017158963,0.7,1,0,False,False,False,False,False,True,False,False,False,True,False,False,False,0,0.459153122326775,25.2,11417.888888888889,10.386153822474382
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,WA,98104.0,0939000080,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,43.0,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,392.16,2.39,112,10932.266666666666,0.0,1,0,Historic,10.932266666666667,1.0,0.0,1.0,0.46268656590595936,0.43,0,0.504424778761062,0.5317702359838588,0.4682296911501317,0.0,0.026411484338908553,0.4682296911501317,163.984,1,1,1,0.024212445147078217,Hospitality,Large,1,18.366208,1.63984,0,12.007530239208668,12.007530239208668,1.2544000000000002,0.18489999999999998,3.5810861304009363,Historic,1,112,1900,1.8447035530882112,57.5,0.9610783882783883,68.54356060606061,0.6273382885247714,1.0,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,0,0.1484174508126604,63.84,10249.0,13.44843386791371
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,Seattle,WA,98104.0,0939000105,7,DOWNTOWN,47.60284,-122.33184,1910,1.0,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,1.0,85.59999847,182.6999969,187.3999939,4573777.0,4807679.5,1039735.188,742091.1875,2532015.0,10020.25977,1002026.0,False,Compliant,151.12,2.37,106,10618.666666666666,0.023480662983425413,1,0,Historic,10.369333333333334,0.8810271220492215,0.11897287795077849,0.7903633354742248,0.44608648813830387,0.01,0,0.9252336448598131,0.5535938896889814,0.21908064166661384,0.22732529111060726,0.02918482605513999,0.44640593277722107,62.216,1,1,1,0.02483399283240555,Residential,Medium,0,6.753472,0.63712,0,11.062143902371083,11.038383553281484,1.1236000000000002,0.0001,0.0903983901154692,Historic,1,106,1910,0.7167147573809404,51.5,1.048254481736083,68.54356060606061,0.014589262523831891,1.0,1,0,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0.00641573994867408,104.94000000000001,9101.714285714286,11.725872536513348
